Name,Weapon Name,Affinity (Dropdown),Affinity,Max Upgrade,Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Physical Damage Type,Weight,Poise,Weapon Type,2H Dual-Wield
Fire Parrying Dagger,Parrying Dagger,Fire,Fire,25,5,14,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Flame Art Parrying Dagger,Parrying Dagger,Flame Art,Flame Art,25,5,14,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Lightning Parrying Dagger,Parrying Dagger,Lightning,Lightning,25,5,14,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Sacred Parrying Dagger,Parrying Dagger,Sacred,Sacred,25,5,14,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Magic Parrying Dagger,Parrying Dagger,Magic,Magic,25,5,14,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Cold Parrying Dagger,Parrying Dagger,Cold,Cold,25,5,14,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Poison Parrying Dagger,Parrying Dagger,Poison,Poison,25,5,14,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Blood Parrying Dagger,Parrying Dagger,Blood,Blood,25,5,14,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Occult Parrying Dagger,Parrying Dagger,Occult,Occult,25,5,14,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Misericorde,Misericorde,None,None,25,7,12,0,0,0,Slash/Pierce,2,6,Dagger,No
Heavy Misericorde,Misericorde,Heavy,Heavy,25,7,12,0,0,0,Slash/Pierce,2,6,Dagger,No
Keen Misericorde,Misericorde,Keen,Keen,25,7,12,0,0,0,Slash/Pierce,2,6,Dagger,No
Quality Misericorde,Misericorde,Quality,Quality,25,7,12,0,0,0,Slash/Pierce,2,6,Dagger,No
Fire Misericorde,Misericorde,Fire,Fire,25,7,12,0,0,0,Slash/Pierce,2,6,Dagger,No
Flame Art Misericorde,Misericorde,Flame Art,Flame Art,25,7,12,0,0,0,Slash/Pierce,2,6,Dagger,No
Lightning Misericorde,Misericorde,Lightning,Lightning,25,7,12,0,0,0,Slash/Pierce,2,6,Dagger,No
Sacred Misericorde,Misericorde,Sacred,Sacred,25,7,12,0,0,0,Slash/Pierce,2,6,Dagger,No
Magic Misericorde,Misericorde,Magic,Magic,25,7,12,0,0,0,Slash/Pierce,2,6,Dagger,No
Cold Misericorde,Misericorde,Cold,Cold,25,7,12,0,0,0,Slash/Pierce,2,6,Dagger,No
Poison Misericorde,Misericorde,Poison,Poison,25,7,12,0,0,0,Slash/Pierce,2,6,Dagger,No
Blood Misericorde,Misericorde,Blood,Blood,25,7,12,0,0,0,Slash/Pierce,2,6,Dagger,No
Occult Misericorde,Misericorde,Occult,Occult,25,7,12,0,0,0,Slash/Pierce,2,6,Dagger,No
Reduvia,Reduvia,None,-,10,5,13,0,0,13,Slash/Pierce,2.5,3,Dagger,No
Crystal Knife,Crystal Knife,None,-,25,8,12,9,0,0,Slash/Pierce,2,3,Dagger,No
Celebrant's Sickle,Celebrant's Sickle,None,None,25,6,11,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Celebrant's Heavy Sickle,Celebrant's Sickle,Heavy,Heavy,25,6,11,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Celebrant's Keen Sickle,Celebrant's Sickle,Keen,Keen,25,6,11,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Celebrant's Quality Sickle,Celebrant's Sickle,Quality,Quality,25,6,11,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Celebrant's Fire Sickle,Celebrant's Sickle,Fire,Fire,25,6,11,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Celebrant's Flame Art Sickle,Celebrant's Sickle,Flame Art,Flame Art,25,6,11,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Celebrant's Lightning Sickle,Celebrant's Sickle,Lightning,Lightning,25,6,11,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Celebrant's Sacred Sickle,Celebrant's Sickle,Sacred,Sacred,25,6,11,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Celebrant's Magic Sickle,Celebrant's Sickle,Magic,Magic,25,6,11,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Celebrant's Cold Sickle,Celebrant's Sickle,Cold,Cold,25,6,11,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Celebrant's Poison Sickle,Celebrant's Sickle,Poison,Poison,25,6,11,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Celebrant's Blood Sickle,Celebrant's Sickle,Blood,Blood,25,6,11,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Celebrant's Occult Sickle,Celebrant's Sickle,Occult,Occult,25,6,11,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Glintstone Kris,Glintstone Kris,None,-,10,5,12,16,0,0,Slash/Pierce,1.5,6,Dagger,No
Scorpion's Stinger,Scorpion's Stinger,None,-,10,6,12,0,0,0,Slash/Pierce,2.5,6,Dagger,No
Great Knife,Great Knife,None,None,25,6,12,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Heavy Great Knife,Great Knife,Heavy,Heavy,25,6,12,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Keen Great Knife,Great Knife,Keen,Keen,25,6,12,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Quality Great Knife,Great Knife,Quality,Quality,25,6,12,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Fire Great Knife,Great Knife,Fire,Fire,25,6,12,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Flame Art Great Knife,Great Knife,Flame Art,Flame Art,25,6,12,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Lightning Great Knife,Great Knife,Lightning,Lightning,25,6,12,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Sacred Great Knife,Great Knife,Sacred,Sacred,25,6,12,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Magic Great Knife,Great Knife,Magic,Magic,25,6,12,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Cold Great Knife,Great Knife,Cold,Cold,25,6,12,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Poison Great Knife,Great Knife,Poison,Poison,25,6,12,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Blood Great Knife,Great Knife,Blood,Blood,25,6,12,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Occult Great Knife,Great Knife,Occult,Occult,25,6,12,0,0,0,Slash/Pierce,1.5,6.6,Dagger,No
Wakizashi,Wakizashi,None,None,25,9,13,0,0,0,Slash/Pierce,3,2.4,Dagger,No
Heavy Wakizashi,Wakizashi,Heavy,Heavy,25,9,13,0,0,0,Slash/Pierce,3,2.4,Dagger,No
Keen Wakizashi,Wakizashi,Keen,Keen,25,9,13,0,0,0,Slash/Pierce,3,2.4,Dagger,No
Quality Wakizashi,Wakizashi,Quality,Quality,25,9,13,0,0,0,Slash/Pierce,3,2.4,Dagger,No
Fire Wakizashi,Wakizashi,Fire,Fire,25,9,13,0,0,0,Slash/Pierce,3,2.4,Dagger,No
Flame Art Wakizashi,Wakizashi,Flame Art,Flame Art,25,9,13,0,0,0,Slash/Pierce,3,2.4,Dagger,No
Lightning Wakizashi,Wakizashi,Lightning,Lightning,25,9,13,0,0,0,Slash/Pierce,3,2.4,Dagger,No
Sacred Wakizashi,Wakizashi,Sacred,Sacred,25,9,13,0,0,0,Slash/Pierce,3,2.4,Dagger,No
Magic Wakizashi,Wakizashi,Magic,Magic,25,9,13,0,0,0,Slash/Pierce,3,2.4,Dagger,No
Cold Wakizashi,Wakizashi,Cold,Cold,25,9,13,0,0,0,Slash/Pierce,3,2.4,Dagger,No
Poison Wakizashi,Wakizashi,Poison,Poison,25,9,13,0,0,0,Slash/Pierce,3,2.4,Dagger,No
Blood Wakizashi,Wakizashi,Blood,Blood,25,9,13,0,0,0,Slash/Pierce,3,2.4,Dagger,No
Occult Wakizashi,Wakizashi,Occult,Occult,25,9,13,0,0,0,Slash/Pierce,3,2.4,Dagger,No
Cinquedea,Cinquedea,None,-,10,10,10,0,0,0,Slash/Pierce,3.5,3,Dagger,No
Ivory Sickle,Ivory Sickle,None,-,25,6,11,13,0,0,Slash/Pierce,2,6.6,Dagger,No
Bloodstained Dagger,Bloodstained Dagger,None,None,25,9,12,0,0,0,Slash/Pierce,2,3,Dagger,No
Heavy Bloodstained Dagger,Bloodstained Dagger,Heavy,Heavy,25,9,12,0,0,0,Slash/Pierce,2,3,Dagger,No
Keen Bloodstained Dagger,Bloodstained Dagger,Keen,Keen,25,9,12,0,0,0,Slash/Pierce,2,3,Dagger,No
Quality Bloodstained Dagger,Bloodstained Dagger,Quality,Quality,25,9,12,0,0,0,Slash/Pierce,2,3,Dagger,No
Fire Bloodstained Dagger,Bloodstained Dagger,Fire,Fire,25,9,12,0,0,0,Slash/Pierce,2,3,Dagger,No
Flame Art Bloodstained Dagger,Bloodstained Dagger,Flame Art,Flame Art,25,9,12,0,0,0,Slash/Pierce,2,3,Dagger,No
Lightning Bloodstained Dagger,Bloodstained Dagger,Lightning,Lightning,25,9,12,0,0,0,Slash/Pierce,2,3,Dagger,No
Sacred Bloodstained Dagger,Bloodstained Dagger,Sacred,Sacred,25,9,12,0,0,0,Slash/Pierce,2,3,Dagger,No
Magic Bloodstained Dagger,Bloodstained Dagger,Magic,Magic,25,9,12,0,0,0,Slash/Pierce,2,3,Dagger,No
Cold Bloodstained Dagger,Bloodstained Dagger,Cold,Cold,25,9,12,0,0,0,Slash/Pierce,2,3,Dagger,No
Poison Bloodstained Dagger,Bloodstained Dagger,Poison,Poison,25,9,12,0,0,0,Slash/Pierce,2,3,Dagger,No
Blood Bloodstained Dagger,Bloodstained Dagger,Blood,Blood,25,9,12,0,0,0,Slash/Pierce,2,3,Dagger,No
Occult Bloodstained Dagger,Bloodstained Dagger,Occult,Occult,25,9,12,0,0,0,Slash/Pierce,2,3,Dagger,No
Erdsteel Dagger,Erdsteel Dagger,None,None,25,7,12,0,14,0,Slash/Pierce,2,3,Dagger,No
Heavy Erdsteel Dagger,Erdsteel Dagger,Heavy,Heavy,25,7,12,0,14,0,Slash/Pierce,2,3,Dagger,No
Keen Erdsteel Dagger,Erdsteel Dagger,Keen,Keen,25,7,12,0,14,0,Slash/Pierce,2,3,Dagger,No
Quality Erdsteel Dagger,Erdsteel Dagger,Quality,Quality,25,7,12,0,14,0,Slash/Pierce,2,3,Dagger,No
Fire Erdsteel Dagger,Erdsteel Dagger,Fire,Fire,25,7,12,0,14,0,Slash/Pierce,2,3,Dagger,No
Flame Art Erdsteel Dagger,Erdsteel Dagger,Flame Art,Flame Art,25,7,12,0,14,0,Slash/Pierce,2,3,Dagger,No
Lightning Erdsteel Dagger,Erdsteel Dagger,Lightning,Lightning,25,7,12,0,14,0,Slash/Pierce,2,3,Dagger,No
Sacred Erdsteel Dagger,Erdsteel Dagger,Sacred,Sacred,25,7,12,0,14,0,Slash/Pierce,2,3,Dagger,No
Magic Erdsteel Dagger,Erdsteel Dagger,Magic,Magic,25,7,12,0,14,0,Slash/Pierce,2,3,Dagger,No
Cold Erdsteel Dagger,Erdsteel Dagger,Cold,Cold,25,7,12,0,14,0,Slash/Pierce,2,3,Dagger,No
Poison Erdsteel Dagger,Erdsteel Dagger,Poison,Poison,25,7,12,0,14,0,Slash/Pierce,2,3,Dagger,No
Blood Erdsteel Dagger,Erdsteel Dagger,Blood,Blood,25,7,12,0,14,0,Slash/Pierce,2,3,Dagger,No
Occult Erdsteel Dagger,Erdsteel Dagger,Occult,Occult,25,7,12,0,14,0,Slash/Pierce,2,3,Dagger,No
Blade of Calling,Blade of Calling,None,-,10,6,13,0,15,0,Slash/Pierce,1.5,3,Dagger,No
Longsword,Longsword,None,None,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Heavy Longsword,Longsword,Heavy,Heavy,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Keen Longsword,Longsword,Keen,Keen,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Quality Longsword,Longsword,Quality,Quality,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Fire Longsword,Longsword,Fire,Fire,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Flame Art Longsword,Longsword,Flame Art,Flame Art,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Lightning Longsword,Longsword,Lightning,Lightning,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Sacred Longsword,Longsword,Sacred,Sacred,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Magic Longsword,Longsword,Magic,Magic,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Cold Longsword,Longsword,Cold,Cold,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Poison Longsword,Longsword,Poison,Poison,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Bloody Longsword,Longsword,Blood,Blood,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Occult Longsword,Longsword,Occult,Occult,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Short Sword,Short Sword,None,None,25,8,10,0,0,0,Standard/Pierce,3,10,Straight Sword,No
Heavy Short Sword,Short Sword,Heavy,Heavy,25,8,10,0,0,0,Standard/Pierce,3,10,Straight Sword,No
Keen Short Sword,Short Sword,Keen,Keen,25,8,10,0,0,0,Standard/Pierce,3,10,Straight Sword,No
Quality Short Sword,Short Sword,Quality,Quality,25,8,10,0,0,0,Standard/Pierce,3,10,Straight Sword,No
Fire Short Sword,Short Sword,Fire,Fire,25,8,10,0,0,0,Standard/Pierce,3,10,Straight Sword,No
Flame Art Short Sword,Short Sword,Flame Art,Flame Art,25,8,10,0,0,0,Standard/Pierce,3,10,Straight Sword,No
Lightning Short Sword,Short Sword,Lightning,Lightning,25,8,10,0,0,0,Standard/Pierce,3,10,Straight Sword,No
Sacred Short Sword,Short Sword,Sacred,Sacred,25,8,10,0,0,0,Standard/Pierce,3,10,Straight Sword,No
Magic Short Sword,Short Sword,Magic,Magic,25,8,10,0,0,0,Standard/Pierce,3,10,Straight Sword,No
Cold Short Sword,Short Sword,Cold,Cold,25,8,10,0,0,0,Standard/Pierce,3,10,Straight Sword,No
Poison Short Sword,Short Sword,Poison,Poison,25,8,10,0,0,0,Standard/Pierce,3,10,Straight Sword,No
Blood Short Sword,Short Sword,Blood,Blood,25,8,10,0,0,0,Standard/Pierce,3,10,Straight Sword,No
Occult Short Sword,Short Sword,Occult,Occult,25,8,10,0,0,0,Standard/Pierce,3,10,Straight Sword,No
Broadsword,Broadsword,None,None,25,10,10,0,0,0,Standard/Pierce,4,10,Straight Sword,No
Heavy Broadsword,Broadsword,Heavy,Heavy,25,10,10,0,0,0,Standard/Pierce,4,10,Straight Sword,No
Keen Broadsword,Broadsword,Keen,Keen,25,10,10,0,0,0,Standard/Pierce,4,10,Straight Sword,No
Quality Broadsword,Broadsword,Quality,Quality,25,10,10,0,0,0,Standard/Pierce,4,10,Straight Sword,No
Fire Broadsword,Broadsword,Fire,Fire,25,10,10,0,0,0,Standard/Pierce,4,10,Straight Sword,No
Flame Art Broadsword,Broadsword,Flame Art,Flame Art,25,10,10,0,0,0,Standard/Pierce,4,10,Straight Sword,No
Lightning Broadsword,Broadsword,Lightning,Lightning,25,10,10,0,0,0,Standard/Pierce,4,10,Straight Sword,No
Sacred Broadsword,Broadsword,Sacred,Sacred,25,10,10,0,0,0,Standard/Pierce,4,10,Straight Sword,No
Magic Broadsword,Broadsword,Magic,Magic,25,10,10,0,0,0,Standard/Pierce,4,10,Straight Sword,No
Cold Broadsword,Broadsword,Cold,Cold,25,10,10,0,0,0,Standard/Pierce,4,10,Straight Sword,No
Poison Broadsword,Broadsword,Poison,Poison,25,10,10,0,0,0,Standard/Pierce,4,10,Straight Sword,No
Blood Broadsword,Broadsword,Blood,Blood,25,10,10,0,0,0,Standard/Pierce,4,10,Straight Sword,No
Occult Broadsword,Broadsword,Occult,Occult,25,10,10,0,0,0,Standard/Pierce,4,10,Straight Sword,No
Lordsworn's Straight Sword,Lordsworn's Straight Sword,None,None,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Lordsworn's Heavy Straight Sword,Lordsworn's Straight Sword,Heavy,Heavy,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Lordsworn's Keen Straight Sword,Lordsworn's Straight Sword,Keen,Keen,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Lordsworn's Quality Straight Sword,Lordsworn's Straight Sword,Quality,Quality,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Lordsworn's Fire Straight Sword,Lordsworn's Straight Sword,Fire,Fire,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Lordsworn's Flame Art Straight Sword,Lordsworn's Straight Sword,Flame Art,Flame Art,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Lordsworn's Lightning Straight Sword,Lordsworn's Straight Sword,Lightning,Lightning,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Lordsworn's Sacred Straight Sword,Lordsworn's Straight Sword,Sacred,Sacred,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Lordsworn's Magic Straight Sword,Lordsworn's Straight Sword,Magic,Magic,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Lordsworn's Cold Straight Sword,Lordsworn's Straight Sword,Cold,Cold,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Lordsworn's Poison Straight Sword,Lordsworn's Straight Sword,Poison,Poison,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Lordsworn's Blood Straight Sword,Lordsworn's Straight Sword,Blood,Blood,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Lordsworn's Occult Straight Sword,Lordsworn's Straight Sword,Occult,Occult,25,10,10,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Weathered Straight Sword,Weathered Straight Sword,None,None,25,7,10,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Weathered Heavy Straight Sword,Weathered Straight Sword,Heavy,Heavy,25,7,10,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Weathered Keen Straight Sword,Weathered Straight Sword,Keen,Keen,25,7,10,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Weathered Quality Straight Sword,Weathered Straight Sword,Quality,Quality,25,7,10,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Weathered Fire Straight Sword,Weathered Straight Sword,Fire,Fire,25,7,10,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Weathered Flame Art Straight Sword,Weathered Straight Sword,Flame Art,Flame Art,25,7,10,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Weathered Lightning Straight Sword,Weathered Straight Sword,Lightning,Lightning,25,7,10,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Weathered Sacred Straight Sword,Weathered Straight Sword,Sacred,Sacred,25,7,10,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Weathered Magic Straight Sword,Weathered Straight Sword,Magic,Magic,25,7,10,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Weathered Cold Straight Sword,Weathered Straight Sword,Cold,Cold,25,7,10,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Weathered Poison Straight Sword,Weathered Straight Sword,Poison,Poison,25,7,10,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Weathered Blood Straight Sword,Weathered Straight Sword,Blood,Blood,25,7,10,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Weathered Occult Straight Sword,Weathered Straight Sword,Occult,Occult,25,7,10,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Ornamental Straight Sword,Ornamental Straight Sword,None,-,10,10,14,0,0,0,Standard/Pierce,3,3,Straight Sword,Yes
Golden Epitaph,Golden Epitaph,None,-,10,12,10,0,14,0,Standard/Pierce,3.5,5,Straight Sword,No
Nox Flowing Sword,Nox Flowing Sword,None,-,10,8,15,0,0,0,Slash,3.5,10,Curved Sword,No
Inseparable Sword,Inseparable Sword,None,-,10,18,18,0,20,0,Standard/Pierce,10,11.165,Greatsword,No
Coded Sword,Coded Sword,None,-,10,0,0,0,20,0,Standard/Pierce,2.5,30,Straight Sword,No
Sword of Night and Flame,Sword of Night and Flame,None,-,10,12,12,24,24,0,Standard/Pierce,4,5,Straight Sword,No
Crystal Sword,Crystal Sword,None,-,10,13,10,15,0,0,Standard/Pierce,4.5,5,Straight Sword,No
Carian Knight's Sword,Carian Knight's Sword,None,-,10,10,10,18,0,0,Standard/Pierce,4,10,Straight Sword,No
Sword of St. Trina,Sword of St. Trina,None,-,10,10,12,14,0,0,Standard/Pierce,3,5,Straight Sword,No
Miquellan Knight's Sword,Miquellan Knight's Sword,None,-,10,11,11,0,16,0,Standard/Pierce,3.5,10,Straight Sword,No
Cane Sword,Cane Sword,None,None,25,8,11,0,0,0,Standard/Pierce,2.5,10,Straight Sword,No
Heavy Cane Sword,Cane Sword,Heavy,Heavy,25,8,11,0,0,0,Standard/Pierce,2.5,10,Straight Sword,No
Keen Cane Sword,Cane Sword,Keen,Keen,25,8,11,0,0,0,Standard/Pierce,2.5,10,Straight Sword,No
Quality Cane Sword,Cane Sword,Quality,Quality,25,8,11,0,0,0,Standard/Pierce,2.5,10,Straight Sword,No
Fire Cane Sword,Cane Sword,Fire,Fire,25,8,11,0,0,0,Standard/Pierce,2.5,10,Straight Sword,No
Flame Art Cane Sword,Cane Sword,Flame Art,Flame Art,25,8,11,0,0,0,Standard/Pierce,2.5,10,Straight Sword,No
Lightning Cane Sword,Cane Sword,Lightning,Lightning,25,8,11,0,0,0,Standard/Pierce,2.5,10,Straight Sword,No
Sacred Cane Sword,Cane Sword,Sacred,Sacred,25,8,11,0,0,0,Standard/Pierce,2.5,10,Straight Sword,No
Magic Cane Sword,Cane Sword,Magic,Magic,25,8,11,0,0,0,Standard/Pierce,2.5,10,Straight Sword,No
Cold Cane Sword,Cane Sword,Cold,Cold,25,8,11,0,0,0,Standard/Pierce,2.5,10,Straight Sword,No
Poison Cane Sword,Cane Sword,Poison,Poison,25,8,11,0,0,0,Standard/Pierce,2.5,10,Straight Sword,No
Blood Cane Sword,Cane Sword,Blood,Blood,25,8,11,0,0,0,Standard/Pierce,2.5,10,Straight Sword,No
Occult Cane Sword,Cane Sword,Occult,Occult,25,8,11,0,0,0,Standard/Pierce,2.5,10,Straight Sword,No
Regalia of Eochaid,Regalia of Eochaid,None,-,10,12,18,0,0,15,Standard/Pierce,5.5,0.75,Straight Sword,No
Noble's Slender Sword,Noble's Slender Sword,None,None,25,8,11,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Noble's Heavy Slender Sword,Noble's Slender Sword,Heavy,Heavy,25,8,11,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Noble's Keen Slender Sword,Noble's Slender Sword,Keen,Keen,25,8,11,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Noble's Quality Slender Sword,Noble's Slender Sword,Quality,Quality,25,8,11,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Noble's Fire Slender Sword,Noble's Slender Sword,Fire,Fire,25,8,11,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Noble's Flame Art Slender Sword,Noble's Slender Sword,Flame Art,Flame Art,25,8,11,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Noble's Lightning Slender Sword,Noble's Slender Sword,Lightning,Lightning,25,8,11,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Noble's Sacred Slender Sword,Noble's Slender Sword,Sacred,Sacred,25,8,11,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Noble's Magic Slender Sword,Noble's Slender Sword,Magic,Magic,25,8,11,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Noble's Cold Slender Sword,Noble's Slender Sword,Cold,Cold,25,8,11,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Noble's Poison Slender Sword,Noble's Slender Sword,Poison,Poison,25,8,11,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Noble's Blood Slender Sword,Noble's Slender Sword,Blood,Blood,25,8,11,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Noble's Occult Slender Sword,Noble's Slender Sword,Occult,Occult,25,8,11,0,0,0,Standard/Pierce,3.5,5,Straight Sword,No
Warhawk's Talon,Warhawk's Talon,None,None,25,10,16,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Warhawk's Heavy Talon,Warhawk's Talon,Heavy,Heavy,25,10,16,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Warhawk's Keen Talon,Warhawk's Talon,Keen,Keen,25,10,16,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Warhawk's Quality Talon,Warhawk's Talon,Quality,Quality,25,10,16,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Warhawk's Fire Talon,Warhawk's Talon,Fire,Fire,25,10,16,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Warhawk's Flame Art Talon,Warhawk's Talon,Flame Art,Flame Art,25,10,16,0,0,0,Standard/Pierce,3,5,Straight Sword,No
Warhawk's Lightning Talon,Warhawk's Talon,Lightning,Lightning,25,10,16,0,0,0,Standard/Pierce,3,5,Straight Sword,No
