Row ID,Row Name,HP,Defense,Poison,Rot,Blood,Frost,Sleep,Madness,Death Blight,Runes,Physical Attack,Magic Attack,Fire Attack,Lightning Attack,Holy Attack,Stamina Attack
19509,Other NPC Scaling,1.461,1.181,1.079,1.079,1.079,1.079,1.079,1.079,1,3,1.2,1.2,1.2,1.2,1.2,1.119
19510,Other NPC Scaling,1.296,1.182,1.077,1.077,1.077,1.077,1.077,1.077,1,3,1.15,1.15,1.15,1.15,1.15,1.11
19511,Other NPC Scaling,1.253,1.183,1.075,1.075,1.075,1.075,1.075,1.075,1,3,1.141,1.141,1.141,1.141,1.141,1.101
19512,Other NPC Scaling,1.264,1.184,1.073,1.073,1.073,1.073,1.073,1.073,1,2,1.135,1.135,1.135,1.135,1.135,1.092
19513,Other NPC Scaling,1.191,1.185,1.071,1.071,1.071,1.071,1.071,1.071,1,2,1.134,1.134,1.134,1.134,1.134,1.083
19514,Other NPC Scaling,1.008,1.186,1.069,1.069,1.069,1.069,1.069,1.069,1,2,1.122,1.122,1.122,1.122,1.122,1.074
19515,Other NPC Scaling,1.001,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1,2,1.094,1.094,1.094,1.094,1.094,1.065
19516,Other NPC Scaling,1.015,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19517,Other NPC Scaling,1.001,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1,2,1.094,1.094,1.094,1.094,1.094,1.065
19518,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19519,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19520,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19521,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19522,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19523,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19524,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19525,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19526,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19527,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19528,Other NPC Scaling,1.015,1.2,1,1,1,1,1,1,1,2,1.134,1.134,1.134,1.134,1.134,1.07
19550,Other NPC Scaling,2,1.172,1.097,1.097,1.097,1.097,1.097,1.097,1,5,2,2,2,2,2,1.2
19551,Other NPC Scaling,1.947,1.173,1.095,1.095,1.095,1.095,1.095,1.095,1,5,1.95,1.95,1.95,1.95,1.95,1.191
19552,Other NPC Scaling,1.894,1.174,1.093,1.093,1.093,1.093,1.093,1.093,1,5,1.9,1.9,1.9,1.9,1.9,1.182
19553,Other NPC Scaling,1.842,1.175,1.091,1.091,1.091,1.091,1.091,1.091,1,5,1.85,1.85,1.85,1.85,1.85,1.173
19554,Other NPC Scaling,1.789,1.176,1.089,1.089,1.089,1.089,1.089,1.089,1,4,1.8,1.8,1.8,1.8,1.8,1.164
19555,Other NPC Scaling,1.736,1.177,1.087,1.087,1.087,1.087,1.087,1.087,1,4,1.75,1.75,1.75,1.75,1.75,1.155
19556,Other NPC Scaling,1.683,1.178,1.085,1.085,1.085,1.085,1.085,1.085,1,4,1.7,1.7,1.7,1.7,1.7,1.146
19557,Other NPC Scaling,1.631,1.179,1.083,1.083,1.083,1.083,1.083,1.083,1,3,1.65,1.65,1.65,1.65,1.65,1.137
19558,Other NPC Scaling,1.578,1.18,1.081,1.081,1.081,1.081,1.081,1.081,1,3,1.6,1.6,1.6,1.6,1.6,1.128
19559,Other NPC Scaling,1.525,1.181,1.079,1.079,1.079,1.079,1.079,1.079,1,3,1.55,1.55,1.55,1.55,1.55,1.119
19560,Other NPC Scaling,1.472,1.182,1.077,1.077,1.077,1.077,1.077,1.077,1,3,1.5,1.5,1.5,1.5,1.5,1.11
19561,Other NPC Scaling,1.419,1.183,1.075,1.075,1.075,1.075,1.075,1.075,1,3,1.45,1.45,1.45,1.45,1.45,1.101
19562,Other NPC Scaling,1.367,1.184,1.073,1.073,1.073,1.073,1.073,1.073,1,2,1.4,1.4,1.4,1.4,1.4,1.092
19563,Other NPC Scaling,1.314,1.185,1.071,1.071,1.071,1.071,1.071,1.071,1,2,1.35,1.35,1.35,1.35,1.35,1.083
19564,Other NPC Scaling,1.261,1.186,1.069,1.069,1.069,1.069,1.069,1.069,1,2,1.3,1.3,1.3,1.3,1.3,1.074
19565,Other NPC Scaling,1.208,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1,2,1.25,1.25,1.25,1.25,1.25,1.065
19566,Other NPC Scaling,1.156,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1,2,1.2,1.2,1.2,1.2,1.2,1.07
19567,Other NPC Scaling,1.103,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1,2,1.15,1.15,1.15,1.15,1.15,1.065
19568,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.1,1.1,1.1,1.1,1.1,1.07
19569,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19570,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19571,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19572,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19573,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19574,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19575,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19576,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19577,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
19578,Other NPC Scaling,1.05,1.2,1,1,1,1,1,1,1,2,1.05,1.05,1.05,1.05,1.05,1.07
